Blunt Wrap,Cigarette,Filters,Hookah,Hookah Chillum,Hookah Coal,Hookah Flavor,Hookah Foil,Hookah Pipe,Hookah Tong,Magic Coal,Paan,Roach,Rolled Cones,Rolling Paper,Smoking Filter
0,74,0,1,0,0,1,2,0,0,2,0,24,17,149,7
74,0,22,10,13,11,70,21,5,12,56,9,378,544,1794,22
0,22,0,84,30,73,390,131,34,62,227,1,1,7,5,0
1,10,84,0,19,53,238,141,7,99,156,0,0,0,3,0
0,13,30,19,0,17,126,47,29,21,69,1,0,2,2,0
0,11,73,53,17,0,279,80,9,30,31,1,0,2,3,1
1,70,390,238,126,279,0,479,89,150,1442,2,2,20,21,1
2,21,131,141,47,80,479,0,31,88,339,1,0,1,6,0
0,5,34,7,29,9,89,31,0,15,42,0,0,1,4,1
0,12,62,99,21,30,150,88,15,0,112,0,0,1,1,0
2,56,227,156,69,31,1442,339,42,112,0,0,1,11,13,0
0,9,1,0,1,1,2,1,0,0,0,0,0,2,2,0
24,378,1,0,0,0,2,0,0,0,1,0,0,30,1201,6
17,544,7,0,2,2,20,1,1,1,11,2,30,0,146,6
149,1794,5,3,2,3,21,6,4,1,13,2,1201,146,0,94
7,22,0,0,0,1,1,0,1,0,0,0,6,6,94,0
